"Ticker","Company Name","12/31/2015","12/31/2014","12/31/2013","12/31/2012","12/31/2011","12/31/2010","12/31/2009"
"WIN","Windstream Comm's","-","0.027%","0.029%","0.038%","0.060%","0.062%","0.048%"
"WM","Waste Management Inc.","0.124%","0.121%","0.121%","0.116%","0.124%","0.154%","0.167%"
"WMB","Williams Companies","0.097%","0.167%","0.161%","0.176%","0.171%","0.127%","0.124%"
"WMT","Wal-Mart Stores","0.538%","0.749%","0.777%","0.899%","0.953%","0.942%","1.151%"
"WPX","WPX Energy Inc","-","-","0.025%","0.023%","-","-","-"
"WRK","WestRock Co","0.066%","0.041%","0.040%","0.044%","0.045%","0.039%","0.049%"
"WU","Western Union Co.","0.050%","0.052%","0.058%","0.061%","0.099%","0.106%","0.131%"
"WY","Weyerhaeuser Corp.","0.086%","0.104%","0.112%","0.119%","0.088%","0.089%","0.092%"
"WYN","Wyndham Worldwide","0.046%","0.057%","0.058%","0.058%","0.049%","0.045%","0.036%"
"WYNN","Wynn Resorts Ltd.","0.031%","0.067%","0.095%","0.071%","0.083%","0.063%","0.041%"
"X","U.S. Steel Corp.","-","-","0.026%","0.027%","0.033%","0.073%","0.080%"
"XEC","Cimarex Energy","0.047%","0.051%","-","-","-","-","-"
"XEL","Xcel Energy Inc.","0.102%","0.100%","0.085%","0.103%","0.118%","0.099%","0.098%"
"XL","XL Capital","0.065%","0.048%","0.054%","0.059%","0.055%","0.060%","0.063%"
"XLNX","Xilinx Inc.","0.067%","0.062%","0.075%","0.074%","0.074%","0.066%","0.070%"
"XOM","Exxon Mobil Corp.","1.815%","2.162%","2.697%","3.108%","3.570%","3.227%","3.257%"
"XRAY","Dentsply Int'l","0.048%","0.041%","0.042%","0.044%","0.044%","0.042%","0.052%"
"XRX","Xerox Corp.","0.057%","0.082%","0.091%","0.068%","0.097%","0.140%","0.074%"
"XTO","XTO Energy Inc.","-","-","-","-","-","-","0.274%"
"XYL","Xylem Inc.","0.036%","0.038%","0.039%","0.040%","0.042%","-","-"
"YHOO","Yahoo Inc.","0.162%","0.243%","0.233%","0.175%","0.172%","0.162%","0.202%"
"YUM","Yum! Brands Inc.","0.176%","0.176%","0.205%","0.236%","0.239%","0.201%","0.165%"
"ZBH","Zimmer Biomet Holdings","0.098%","0.106%","0.097%","0.090%","0.084%","0.092%","0.122%"
"ZION","Zions Bancorp","0.031%","0.032%","0.034%","0.031%","0.026%","0.039%","0.019%"
"ZTS","Zoetis, Inc.","0.123%","0.119%","0.100%","-","-","-","-"
